xover              ,t ,count_s0,count_s1,avg_fitness_s0    ,stdev_fitness_s0  ,avg_fitness_s1    ,stdev_fitness_s1
uniform_crossover  ,0 ,125     ,125     ,52.584            ,4.212469967347714 ,52.344            ,4.4470069673592745
uniform_crossover  ,1 ,122     ,128     ,55.114754098360656,3.3653477742295803,55.1796875        ,3.7802503640579985
uniform_crossover  ,2 ,124     ,126     ,57.346774193548384,3.4805951150774446,57.84126984126984 ,2.9756685256599353
uniform_crossover  ,3 ,119     ,131     ,59.9327731092437  ,3.359103725387894 ,59.70229007633588 ,2.884160073677096
uniform_crossover  ,4 ,114     ,136     ,62.08771929824562 ,3.1916966484505505,62.095588235294116,2.9360560002495366
uniform_crossover  ,5 ,110     ,140     ,64.47272727272727 ,2.7485078217167884,64.28571428571429 ,2.929104055041759
uniform_crossover  ,6 ,100     ,150     ,66.28             ,2.807205735318315 ,66.49333333333334 ,2.6438396591277495
uniform_crossover  ,7 ,93      ,157     ,68.56989247311827 ,2.464521513937365 ,68.38216560509554 ,2.723438230052588
uniform_crossover  ,8 ,88      ,162     ,70.5              ,2.729152956884052 ,70.39506172839506 ,2.657131561065786
uniform_crossover  ,9 ,98      ,152     ,72.23469387755102 ,2.431753092153733 ,72.47368421052632 ,2.6568600907839874
uniform_crossover  ,10,98      ,152     ,74.06122448979592 ,2.0996628425005697,74.28289473684211 ,2.4370695766220174
uniform_crossover  ,11,89      ,161     ,75.71910112359551 ,2.271307012817949 ,76.29813664596273 ,2.0761885767461443
uniform_crossover  ,12,89      ,161     ,77.73033707865169 ,2.1677598666900995,78.22360248447205 ,2.25547986933907
uniform_crossover  ,13,77      ,173     ,79.71428571428571 ,2.1512367486802053,79.95375722543352 ,2.3694151689907406
uniform_crossover  ,14,78      ,172     ,81.48717948717949 ,2.541824632202714 ,81.61046511627907 ,2.297851988055351
uniform_crossover  ,15,67      ,183     ,83.4776119402985  ,2.3891053793825554,83.33333333333333 ,2.2685943106955344
uniform_crossover  ,16,72      ,178     ,84.81944444444444 ,2.3093587237975757,85.01123595505618 ,2.16544188949485
uniform_crossover  ,17,62      ,188     ,86.04838709677419 ,2.18360072128462  ,86.68085106382979 ,2.0144545364201383
uniform_crossover  ,18,54      ,196     ,87.81481481481481 ,1.7491137817944185,88.23979591836735 ,2.0850254771077457
uniform_crossover  ,19,50      ,200     ,89.34             ,1.5598273059828758,89.7              ,2.002510986550706
uniform_crossover  ,20,50      ,200     ,90.4              ,1.4568627181693672,91.15             ,1.7182145694099626
uniform_crossover  ,21,39      ,211     ,91.58974358974359 ,1.371091549746688 ,92.44549763033176 ,1.6620744679162602
uniform_crossover  ,22,27      ,223     ,92.96296296296296 ,1.1596246568305386,93.52466367713005 ,1.3911145796679711
uniform_crossover  ,23,21      ,229     ,93.85714285714286 ,1.01418510567422  ,94.67248908296943 ,1.2291001579794902
uniform_crossover  ,24,13      ,237     ,95.3076923076923  ,0.8548504142651103,95.54852320675106 ,1.2465069552559815
uniform_crossover  ,25,10      ,240     ,96                ,0.816496580927726 ,96.43333333333334 ,1.1587999371253561
uniform_crossover  ,26,7       ,243     ,96.85714285714286 ,0.8997354108424374,97.32098765432099 ,1.0264336133705247
uniform_crossover  ,27,5       ,245     ,97.4              ,0.8944271909999159,98.02857142857142 ,0.884289100416122
uniform_crossover  ,28,2       ,248     ,98.5              ,0.7071067811865476,98.71774193548387 ,0.7588664449764653
uniform_crossover  ,29,1       ,249     ,                  ,0                 ,99.17670682730923 ,0.6605987618721904
uniform_crossover  ,30,0       ,250     ,                  ,0                 ,99.6              ,0.514840014921
uniform_crossover  ,31,0       ,250     ,                  ,0                 ,99.864            ,0.34347620531043754
uniform_crossover  ,32,0       ,250     ,                  ,0                 ,99.992            ,0.08926293455821277
uniform_crossover  ,33,0       ,250     ,                  ,0                 ,100               ,0.0
two_point_crossover,0 ,133     ,117     ,52.92481203007519 ,3.8565647693848266,54.376068376068375,4.06356072778393
two_point_crossover,1 ,125     ,125     ,55.792            ,3.343978700348897 ,56.544            ,4.163016896124655
two_point_crossover,2 ,131     ,119     ,57.76335877862596 ,2.9057821959478876,59.35294117647059 ,3.6582579796486483
two_point_crossover,3 ,121     ,129     ,59.78512396694215 ,2.7178625534607397,61.37984496124031 ,3.441914888659392
two_point_crossover,4 ,104     ,146     ,62                ,2.95270157685157  ,63.294520547945204,3.2592950543482573
